study_id,title,year,venue,doi,detection_approach,learning_algorithm,metrics_reported,platform,ai_generation,vulnerability_classes,input_representation,quantum_aspects,artifact_dataset_availability
P11,A New Smart Contract Anomaly Detection Method by Fusing Opcode and Source Code Features for Blockchain Services,2023,IEEE TNSM 20(4),10.1109/TNSM.2023.3278311,Multimodal feature fusion,Pretrained transformers (BERT/DeBERTa),Accuracy; F1-score,Ethereum/EVM,Gen 2,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P12,Automated Smart Contract Vulnerability Detection using Fine-tuned Large Language Models,2023,ICBTA 2023,10.1145/3651655.3651658,LLM-assisted auditing,Large language models,Accuracy; Precision/Recall,Ethereum/EVM,Gen 3,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P13,Can Neural Networks Help Smart Contract Testing? An Empirical Study,2023,Internetware 2023,10.1145/3609437.3609455,Surveys and empirical studies,Transformers (generic),Accuracy,Ethereum/EVM,—,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P14,Cross-Modality Mutual Learning for Enhancing Smart Contract Vulnerability Detection on Bytecode,2023,WWW 2023,10.1145/3543507.3583367,Graph-based detection (GNN),Graph neural networks,Accuracy; F1-score; AUC/ROC,Ethereum/EVM,Gen 2,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P15,Large Language Model-Powered Smart Contract Vulnerability Detection: New Perspectives,2023,TPS-ISA 2023,10.1109/TPS-ISA58951.2023.00044,LLM-assisted auditing,Large language models,Accuracy; Precision/Recall; FPR/TPR/FNR/TNR,Ethereum/EVM,Gen 3,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P16,PSCVFinder: A Prompt-Tuning Based Framework for Smart Contract Vulnerability Detection,2023,ISSRE 2023,10.1109/ISSRE59848.2023.00030,LLM-assisted auditing,Large language models,F1-score,Ethereum/EVM,Gen 3,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P17,Semantic-Enriched Code Knowledge Graph to Reveal Unknowns in Smart Contract Code Reuse,2023,ACM TOSEM,10.1145/3597206,Graph-based detection (GNN),"Others (static, symbolic, ensembles)",Accuracy,Ethereum/EVM,Gen 2,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P18,Smart Contract Vulnerability Detection Based on TextCNN and Attention Mechanism,2023,IMSE 2023,10.1109/IMSE61332.2023.00049,Sequence models (LSTM/RNN/CNN),CNN/TextCNN,Accuracy; F1-score; Precision/Recall,Ethereum/EVM,Gen 1,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P19,A Reliable Framework for Detection of Smart Contract Vulnerabilities for Enhancing Operability in Inter-Organizational Systems,2024,J. Mobile Multimedia 20(2),10.13052/jmm1550-4646.2027,Fuzzing and dynamic analysis,"Others (static, symbolic, ensembles)",Accuracy; F1-score; Precision/Recall,Ethereum/EVM,Gen 2,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P20,A Survey of Ethereum Smart Contract Security: Attacks and Detection,2024,DLT: Research and Practice,10.1145/3643895,Surveys and empirical studies,Large language models,Precision/Recall,Ethereum/EVM,—,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P21,Are We There Yet? Unraveling the State-of-the-Art Smart Contract Fuzzers,2024,ICSE 2024,10.1145/3597503.3639152,Surveys and empirical studies,Pretrained transformers (BERT/DeBERTa),Accuracy,Ethereum/EVM,—,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P22,Checking Smart Contract Vulnerabilities in Blockchain-based Internet of Drones,2024,ICAICE 2024,10.1145/3716895.3716931,Static/symbolic analysis,"Others (static, symbolic, ensembles)",F1-score; Precision/Recall,Ethereum/EVM,—,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P23,VulnHunt-GPT: a Smart Contract Vulnerabilities Detector based on OpenAI ChatGPT,2024,SAC 2024,10.1145/3605098.3636003,LLM-assisted auditing,Large language models,Precision/Recall,Ethereum/EVM,Gen 3,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P24,Combining Deep Learning and Expert Rules for Smart Contract Vulnerability Detection,2024,SMC 2024,10.1109/SMC54092.2024.10831120,Graph-based detection (GNN),Graph neural networks,Accuracy; F1-score; Precision/Recall,Ethereum/EVM,Gen 2,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P25,Empirical Study of Move Smart Contract Security: Introducing MoveScan for Enhanced Analysis,2024,ISSTA 2024,10.1145/3650212.3680391,Surveys and empirical studies,"Others (static, symbolic, ensembles)",Precision/Recall,Move,—,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P26,Enhancing Smart Contract Security on VNT Blockchain with an Advanced Graph Neural Network Approach,2024,AIBC 2024,10.1145/3702359.3702361,Graph-based detection (GNN),Graph neural networks,F1-score,Other,Gen 2,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P27,FunFuzz: A Function-Oriented Fuzzer for Smart Contract Vulnerability Detection with High Effectiveness and Efficiency,2024,ACM TOSEM,10.1145/3674725,Fuzzing and dynamic analysis,Pretrained transformers (BERT/DeBERTa),Accuracy,Ethereum/EVM,Gen 2,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P28,Hierarchical Graph Feature Extraction Based on Multi-Information Contract Graph for Enhanced Smart Contract Vulnerability Detection,2024,TrustCom 2024,10.1109/TrustCom63139.2024.00221,Graph-based detection (GNN),Graph neural networks,Accuracy; Precision/Recall,Ethereum/EVM,Gen 2,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P29,Identifying Smart Contract Security Issues in Code Snippets from Stack Overflow,2024,ISSTA 2024,10.1145/3650212.3680353,Surveys and empirical studies,Large language models,F1-score,Ethereum/EVM,—,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P30,Improving Smart Contract Security with Contrastive Learning-based Vulnerability Detection,2024,ICSE 2024,10.1145/3597503.3639173,Pretrained transformers,Pretrained transformers (BERT/DeBERTa),F1-score,Ethereum/EVM,Gen 2,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P31,OpenTracer: A Dynamic Transaction Trace Analyzer for Smart Contract Invariant Generation and Beyond,2024,ASE 2024,10.1145/3691620.3695361,Static/symbolic analysis,"Others (static, symbolic, ensembles)",Accuracy,Ethereum/EVM,—,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P32,Optimizing Smart Contract Security: A Cost-Sensitive Graph Neural Network Approach for Vulnerability Detection,2024,ICESIC 2024,10.1109/ICESIC61777.2024.10846442,Graph-based detection (GNN),Graph neural networks,Accuracy; F1-score,Ethereum/EVM,Gen 2,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P33,SCVHunter: Smart Contract Vulnerability Detection Based on Heterogeneous Graph Attention Network,2024,ICSE 2024,10.1145/3597503.3639213,Graph-based detection (GNN),Graph neural networks,Accuracy,Ethereum/EVM,Gen 2,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P34,SELLM: An Integrated Tool Leveraging Symbolic Execution and LLMs for Smart Contract Vulnerability Detection,2024,ICCWAMTIP 2024,10.1109/ICCWAMTIP64812.2024.10873603,LLM-assisted auditing,Large language models,Precision/Recall; AUC/ROC,Ethereum/EVM,Gen 3,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P35,sGuard+: Machine Learning Guided Rule-Based Automated Vulnerability Repair on Smart Contracts,2024,ACM TOSEM,10.1145/3641846,Automated repair,Pretrained transformers (BERT/DeBERTa),F1-score; Precision/Recall; AUC/ROC,Ethereum/EVM,Gen 2,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P36,Smart Contract Code Repair Recommendation based on Reinforcement Learning and Multi-metric Optimization,2024,ACM TOSEM,10.1145/3637229,Automated repair,Reinforcement learning,Precision/Recall,Ethereum/EVM,Gen 2,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P37,Smart Contract Reentrancy Vulnerability Detection Based on CNN and LSTM-Attention,2024,AINIT 2024,10.1109/AINIT61980.2024.10581851,Sequence models (LSTM/RNN/CNN),LSTM/BiLSTM/RNN,Accuracy; F1-score,Ethereum/EVM,Gen 1,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P38,Smart Contract Vulnerability Detection Using Deep Learning Algorithms on EVM Bytecode,2024,MECO 2024,10.1109/MECO62516.2024.10577852,Sequence models (LSTM/RNN/CNN),LSTM/BiLSTM/RNN,F1-score,Ethereum/EVM,Gen 1,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P39,Smart Contract Vulnerability Detection: The Role of Large Language Model (LLM),2024,ACM SIGAPP ACR 24(2),10.1145/3687301.3687305,Surveys and empirical studies,Large language models,Accuracy,Ethereum/EVM,—,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P40,SoK: AI-Powered Security Analysis of Smart Contract,2024,ICMC 2024,10.1109/ICMC60390.2024.00017,Surveys and empirical studies,Large language models,Precision/Recall,Ethereum/EVM,—,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P41,StateGuard: Detecting State Derailment Defects in Decentralized Exchange Smart Contract,2024,WWW 2024 Companion,10.1145/3589335.3651562,Graph-based detection (GNN),Graph neural networks,Precision/Recall; AUC/ROC,Ethereum/EVM,Gen 2,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P42,The Sword of Damocles: Upgradeable Smart Contract in Ethereum,2024,ICPC 2024,10.1145/3643916.3644426,Surveys and empirical studies,"Others (static, symbolic, ensembles)",F1-score,Ethereum/EVM,—,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P43,TLSCG: Transfer Learning-Based Efficient Anomalous Smart Contract Generation to Empower Unknown Vulnerability Detection,2024,ICWS 2024,10.1109/ICWS62655.2024.00068,Code/comment generation,"Others (static, symbolic, ensembles)",Accuracy; F1-score; Precision/Recall,Ethereum/EVM,Gen 2,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P44,A Comparative Evaluation of Deep Learning Techniques for Smart Contract Vulnerability Classification,2025,DLT: Research and Practice 4(2),10.1145/3703462,Surveys and empirical studies,Transformers (generic),Accuracy,Ethereum/EVM,—,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P45,Automated Judging of LLM-based Smart Contract Security Auditors,2025,ICBC 2025,10.1109/ICBC64466.2025.11114647,LLM-assisted auditing,Large language models,Accuracy,Ethereum/EVM,Gen 3,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P46,Automating Comment Generation for Smart Contract from Bytecode,2025,ACM TOSEM,10.1145/3699597,Code/comment generation,Large language models,Accuracy,Ethereum/EVM,Gen 3,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P47,Bioluminescent Filament-Inspired AI for Adaptive Smart Contract Intrusion Detection,2025,ICACS 2025,10.1145/3789418.3789441,Fuzzing and dynamic analysis,"Others (static, symbolic, ensembles)",Accuracy,Ethereum/EVM,Gen 2,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P48,Blockchain Smart Contract Security: Threats and Mitigation Strategies in a Lifecycle Perspective,2025,ACM Computing Surveys 58(4),10.1145/3769013,Surveys and empirical studies,"Others (static, symbolic, ensembles)",Accuracy,Ethereum/EVM,—,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P49,Bugdar: AI-Augmented Secure Code Review for GitHub Pull Requests,2025,IEEE CAI 2025,10.1109/CAI64502.2025.00113,Surveys and empirical studies,Large language models,F1-score; Precision/Recall; AUC/ROC,Ethereum/EVM,—,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P50,Characterizing Smart Contract Evolution,2025,ACM TOSEM 34(7),10.1145/3719004,Surveys and empirical studies,Pretrained transformers (BERT/DeBERTa),Accuracy,Ethereum/EVM,—,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P51,CMRL: Cross-Modal Attention and Residual Learning Based Smart Contract Vulnerability Detection,2025,ICBAR 2025,10.1145/3800227.3800272,Graph-based detection (GNN),Graph neural networks,Accuracy; F1-score,Ethereum/EVM,Gen 2,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P52,CrossMiner: Smart Contract Vulnerability Detection in Interactive Scenarios,2025,TrustCom 2025,10.1109/Trustcom66490.2025.00200,Graph-based detection (GNN),Graph neural networks,Accuracy; F1-score; Precision/Recall; AUC/ROC,Ethereum/EVM,Gen 2,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P53,DepFuzz: Efficient Smart Contract Fuzzing with Function Dependence Guidance,2025,Proc. ACM Program. Lang.,10.1145/3763185,Fuzzing and dynamic analysis,Pretrained transformers (BERT/DeBERTa),AUC/ROC,Ethereum/EVM,Gen 2,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P54,Efficient Adaptation of Large Language Models for Smart Contract Vulnerability Detection,2025,PROMISE 2025,10.1145/3727582.3728688,LLM-assisted auditing,Large language models,Accuracy; F1-score; Precision/Recall,Ethereum/EVM,Gen 3,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P55,Enhancing Smart Contract Security Analysis with Execution Property Graphs,2025,Proc. ACM Softw. Eng.,10.1145/3728924,Graph-based detection (GNN),"Others (static, symbolic, ensembles)",AUC/ROC; FPR/TPR/FNR/TNR,Ethereum/EVM,Gen 2,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P56,Enhancing Smart Contract Security with Explainable AI: A Framework for Reentrancy Vulnerability Detection and Explanation,2025,SIEDS 2025,10.1109/SIEDS65500.2025.11021147,Sequence models (LSTM/RNN/CNN),LSTM/BiLSTM/RNN,Accuracy; AUC/ROC,Ethereum/EVM,Gen 1,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P57,Enhancing Smart Contract Security: A Comprehensive Vulnerability Assessment Framework,2025,ICCDS 2025,10.1109/ICCDS64403.2025.11209716,Other deep networks,"Others (static, symbolic, ensembles)",Accuracy; Precision/Recall,Ethereum/EVM,Gen 2,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P58,Ethereum Smart Contract Security: Deep Learning Approaches for Vulnerability Detection,2025,ICSCDS 2025,10.1109/ICSCDS65426.2025.11167498,Pretrained transformers,Pretrained transformers (BERT/DeBERTa),Accuracy; AUC/ROC,Ethereum/EVM,Gen 2,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P59,Evaluating Capabilities and Perspectives of Generative AI Tools in Smart Contract Development,2025,BSCI 2025,10.1145/3709016.3737802,Surveys and empirical studies,Large language models,Accuracy,Ethereum/EVM,—,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P60,FIRE: Smart Contract Bytecode Function Identification via Graph-Refined Hybrid Feature Encoding,2025,Internetware 2025,10.1145/3755881.3755883,Graph-based detection (GNN),Graph neural networks,Accuracy,Ethereum/EVM,Gen 2,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P61,Fusion Learning for Blockchain Security: Detecting Vulnerabilities in Smart Contracts with GNN and CodeBERT,2025,CSITSS 2025,10.1109/CSITSS67709.2025.11295749,LLM-assisted auditing,Large language models,Accuracy; F1-score; Precision/Recall,Ethereum/EVM,Gen 3,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P62,Leveraging Large Language Models and Machine Learning for Smart Contract Vulnerability Detection,2025,CCWC 2025,10.1109/CCWC62904.2025.10903869,LLM-assisted auditing,Large language models,Accuracy; F1-score,Ethereum/EVM,Gen 3,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P63,Leveraging Machine Learning Models to Improve Smart Contract Security: A Survey of Vulnerabilities and Detection Methods,2025,ACM Computing Surveys 58(6),10.1145/3772367,Surveys and empirical studies,Large language models,Accuracy,Ethereum/EVM,—,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P64,LLM Assisted Dual-View Awareness Framework for Smart Contract Vulnerability Detection,2025,ISSRE 2025,10.1109/ISSRE66568.2025.00022,LLM-assisted auditing,Large language models,Accuracy,Ethereum/EVM,Gen 3,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P65,MCLF: Smart Contract Vulnerability Detection Based on Multimodal and Contrastive Learning,2025,ICAICE 2025,10.1109/ICAICE68195.2025.11382305,Graph-based detection (GNN),Graph neural networks,F1-score; Precision/Recall; AUC/ROC,Ethereum/EVM,Gen 2,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P66,Optimized DeBERTa for Efficient Smart Contract Vulnerability Detection,2025,APCC 2025,10.23919/APCC64555.2025.11279833,Pretrained transformers,Pretrained transformers (BERT/DeBERTa),Accuracy; F1-score; Precision/Recall,Ethereum/EVM,Gen 2,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P67,Performance of Open-Source Large Language Models in Smart Contract Vulnerability Detection,2025,ICBCTIS 2025,10.1109/ICBCTIS66509.2025.11387384,LLM-assisted auditing,Large language models,Accuracy; F1-score; Precision/Recall,Ethereum/EVM,Gen 3,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P68,Research on Intelligent Vulnerability Detection Model Based on Multi-Modality,2025,ICCEA 2025,10.1109/ICCEA65460.2025.11102232,Graph-based detection (GNN),Graph neural networks,Accuracy; F1-score,Ethereum/EVM,Gen 2,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P69,Research on Multi-feature Fusion Graph Neural Network-based Vulnerability Detection Method for Smart Contracts,2025,CCPQT 2025,10.1109/CCPQT66408.2025.11382789,Fuzzing and dynamic analysis,Graph neural networks,F1-score; Precision/Recall,Ethereum/EVM,Gen 2,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P70,SandWatch: Towards Detecting Sandwich Attacks in Ethereum Using a Dual-Task Graph Neural Network,2025,ACM Trans. Web,10.1145/3787205,Graph-based detection (GNN),Graph neural networks,F1-score; Precision/Recall,Ethereum/EVM,Gen 2,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P71,Semantics-Compressed and Attention-Guided Framework for Smart Contract Vulnerability Detection,2025,MLISE 2025,10.1109/MLISE66443.2025.11100212,Graph-based detection (GNN),Graph neural networks,F1-score; AUC/ROC,Ethereum/EVM,Gen 2,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P72,Smart Contract Fuzzing Towards Profitable Vulnerabilities,2025,Proc. ACM Softw. Eng. (FSE),10.1145/3715720,Fuzzing and dynamic analysis,Pretrained transformers (BERT/DeBERTa),AUC/ROC,Ethereum/EVM,Gen 2,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P73,Smart Contract Reentry Vulnerability Detection Based on Federated Learning,2025,ISCAIT 2025,10.1109/ISCAIT64916.2025.11010346,Sequence models (LSTM/RNN/CNN),LSTM/BiLSTM/RNN,Accuracy; F1-score; Precision/Recall,Ethereum/EVM,Gen 1,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P74,Smart Contract Security: A Comprehensive Evaluation of Deep Learning Based Mechanisms for Smart Contract Vulnerability Detection,2025,ICBDS 2025,10.1109/ICBDS67396.2025.11377305,Surveys and empirical studies,Graph neural networks,Accuracy; F1-score; Precision/Recall,Ethereum/EVM,—,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P75,Smart-LLaMA-DPO: Reinforced Large Language Model for Explainable Smart Contract Vulnerability Detection,2025,Proc. ACM Softw. Eng. (ISSTA),10.1145/3728878,LLM-assisted auditing,Large language models,Accuracy; F1-score; Precision/Recall; AUC/ROC,Ethereum/EVM,Gen 3,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P76,SmartAuditFlow: A Dynamic Plan-Execute Framework for Advanced Smart Contract Security Analysis,2025,ACM TOSEM,10.1145/3785364,LLM-assisted auditing,Large language models,Accuracy,Ethereum/EVM,Gen 3,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P77,SNFM: Scalable Node Feature Modeling in Smart Contracts for Vulnerability Detection through Graph-based Approaches,2025,GBC 2025,10.1109/GBC60041.2025.11134470,LLM-assisted auditing,Large language models,Accuracy,Ethereum/EVM,Gen 3,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P78,SolGen: Secure Smart Contract Code Generation Using Large Language Models Via Masked Prompting,2025,ISEC 2025,10.1145/3717383.3717394,Code/comment generation,Large language models,Accuracy,Ethereum/EVM,Gen 3,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
